timestamp,room_id,temperature
Monday 08:56,room_05,24.73
Monday 08:56,room_06,20.67
Monday 08:56,room_07,22.34
Monday 08:56,room_08,23.19
Monday 08:56,room_09,23.78
Monday 08:57,room_10,22.87
Monday 08:57,room_11,20.95
Monday 08:57,room_12,24.94
Monday 08:57,room_13,24.03
Monday 08:57,room_14,20.2
Monday 08:57,room_15,22.63
Monday 08:57,room_01,21.83
Monday 08:57,room_02,22.04
Monday 08:57,room_03,23.54
Monday 08:57,room_04,23.34
Monday 08:58,room_05,24.96
Monday 08:58,room_06,20.69
Monday 08:58,room_07,22.21
Monday 08:58,room_08,22.72
Monday 08:58,room_09,23.17
Monday 08:58,room_10,23.09
Monday 08:58,room_11,20.93
Monday 08:58,room_12,25.01
Monday 08:58,room_13,24.04
Monday 08:58,room_14,20.47
Monday 08:59,room_15,22.8
Monday 08:59,room_01,21.48
Monday 08:59,room_02,22.34
Monday 08:59,room_03,23.68
Monday 08:59,room_04,23.14
Monday 08:59,room_05,25.35
Monday 08:59,room_06,20.86
Monday 08:59,room_07,21.94
Monday 08:59,room_08,22.57
Monday 08:59,room_09,23.29
Monday 09:00,room_10,23.12
Monday 09:00,room_11,21.0
Monday 09:00,room_12,25.75
Monday 09:00,room_13,24.15
Monday 09:00,room_14,20.45
Monday 09:00,room_15,22.88
Monday 09:00,room_01,21.74
Monday 09:00,room_02,22.15
Monday 09:00,room_03,23.75
Monday 09:01,room_04,23.82
Monday 09:01,room_05,25.49
Monday 09:01,room_06,21.07
Monday 09:01,room_07,21.32
Monday 09:01,room_08,22.42
Monday 09:01,room_09,23.49
Monday 09:01,room_10,23.51
Monday 09:01,room_11,20.87
Monday 09:01,room_12,25.65
Monday 09:01,room_13,24.34
Monday 09:02,room_14,20.28
Monday 09:02,room_15,23.15
Monday 09:02,room_01,20.8
Monday 09:02,room_02,22.53
Monday 09:02,room_03,24.6
Monday 09:02,room_04,24.13
Monday 09:02,room_05,25.58
Monday 09:02,room_06,20.91
Monday 09:02,room_07,21.63
Monday 09:02,room_08,22.34
Monday 09:03,room_09,24.0
Monday 09:03,room_10,23.84
Monday 09:03,room_11,21.55
Monday 09:03,room_12,25.64
Monday 09:03,room_13,24.99
Monday 09:03,room_14,20.6
Monday 09:03,room_15,22.97
Monday 09:03,room_01,20.89
Monday 09:03,room_02,22.84
Monday 09:04,room_03,24.74
Monday 09:04,room_04,24.77
Monday 09:04,room_05,25.54
Monday 09:04,room_06,21.22
Monday 09:04,room_07,22.09
Monday 09:04,room_08,22.02
Monday 09:04,room_09,24.19
Monday 09:04,room_10,24.29
Monday 09:04,room_11,22.0
Monday 09:04,room_12,25.82
Monday 09:05,room_13,25.33
Monday 09:05,room_14,21.24
Monday 09:05,room_15,22.86
Monday 09:05,room_01,21.29
Monday 09:05,room_02,23.25
Monday 09:05,room_03,24.74
Monday 09:05,room_04,24.25
Monday 09:05,room_05,25.78
Monday 09:05,room_06,21.68
Monday 09:05,room_07,22.2
Monday 09:06,room_08,21.74
Monday 09:06,room_09,24.09
Monday 09:06,room_10,24.35
Monday 09:06,room_11,22.18
Monday 09:06,room_12,26.03
Monday 09:06,room_13,25.15
Monday 09:06,room_14,21.44
Monday 09:06,room_15,23.0
Monday 09:06,room_01,21.53
Monday 09:06,room_02,23.66
Monday 09:07,room_03,25.33
Monday 09:07,room_04,24.43
Monday 09:07,room_05,25.53
Monday 09:07,room_06,22.54
Monday 09:07,room_07,22.67
Monday 09:07,room_08,21.35
Monday 09:07,room_09,24.5
Monday 09:07,room_10,24.22
Monday 09:07,room_11,22.03
Monday 09:08,room_12,26.23
Monday 09:08,room_13,25.15
Monday 09:08,room_14,21.64
Monday 09:08,room_15,23.22
Monday 09:08,room_01,21.58
Monday 09:08,room_02,23.78
Monday 09:08,room_03,25.41
Monday 09:08,room_04,24.49
Monday 09:08,room_05,25.88
Monday 09:08,room_06,22.44
Monday 09:09,room_07,22.79
Monday 09:09,room_08,21.59
Monday 09:09,room_09,24.65
Monday 09:09,room_10,24.24
Monday 09:09,room_11,22.32
Monday 09:09,room_12,26.28
Monday 09:09,room_13,25.12
Monday 09:09,room_14,21.53
Monday 09:09,room_15,23.2
Monday 09:09,room_01,21.41
Monday 09:10,room_02,24.03
Monday 09:10,room_03,25.65
Monday 09:10,room_04,25.12
Monday 09:10,room_05,26.64
Monday 09:10,room_06,22.76
Monday 09:10,room_07,22.69
Monday 09:10,room_08,21.77
Monday 09:10,room_09,24.85
Monday 09:10,room_10,24.07
Monday 09:10,room_11,22.26
Monday 09:11,room_12,26.01
Monday 09:11,room_13,25.53
Monday 09:11,room_14,22.28
Monday 09:11,room_15,23.67
Monday 09:11,room_01,21.57
Monday 09:11,room_02,24.14
Monday 09:11,room_03,25.72
Monday 09:11,room_04,25.39
Monday 09:11,room_05,26.06
Monday 09:11,room_06,23.03
Monday 09:12,room_07,22.77
Monday 09:12,room_08,22.24
Monday 09:12,room_09,24.86
Monday 09:12,room_10,24.29
Monday 09:12,room_11,22.33
Monday 09:12,room_12,26.37
Monday 09:12,room_13,25.81
Monday 09:12,room_14,22.45
Monday 09:12,room_15,23.66
Monday 09:13,room_01,21.45
Monday 09:13,room_02,24.33
Monday 09:13,room_03,25.82
Monday 09:13,room_04,25.47
Monday 09:13,room_05,26.88
Monday 09:13,room_06,23.76
Monday 09:13,room_07,22.77
Monday 09:13,room_08,22.38
Monday 09:13,room_09,25.16
Monday 09:13,room_10,24.14
Monday 09:14,room_11,22.03
Monday 09:14,room_12,26.77
Monday 09:14,room_13,25.72
Monday 09:14,room_14,22.18
Monday 09:14,room_15,23.76
Monday 09:14,room_01,21.36
Monday 09:14,room_02,24.16
Monday 09:14,room_03,25.39
Monday 09:14,room_04,25.42
Monday 09:14,room_05,26.7
Monday 09:15,room_06,24.06
Monday 09:15,room_07,22.97
Monday 09:15,room_08,22.22
Monday 09:15,room_09,25.27
Monday 09:15,room_10,24.28
Monday 09:15,room_11,21.66
Monday 09:15,room_12,26.92
Monday 09:15,room_13,25.62
Monday 09:15,room_14,21.98
Monday 09:15,room_15,24.07
Monday 09:16,room_01,21.83
Monday 09:16,room_02,23.22
Monday 09:16,room_03,25.55
Monday 09:16,room_04,25.67
Monday 09:16,room_05,26.85
Monday 09:16,room_06,24.39
Monday 09:16,room_07,22.34
Monday 09:16,room_08,22.28
Monday 09:16,room_09,25.74
Monday 09:17,room_10,23.8
Monday 09:17,room_11,21.55
Monday 09:17,room_12,26.69
Monday 09:17,room_13,25.06
Monday 09:17,room_14,22.52
Monday 09:17,room_15,23.31
Monday 09:17,room_01,21.97
Monday 09:17,room_02,23.16
Monday 09:17,room_03,25.74
Monday 09:17,room_04,25.99
Monday 09:18,room_05,26.92
Monday 09:18,room_06,24.53
Monday 09:18,room_07,22.44
Monday 09:18,room_08,22.3
Monday 09:18,room_09,25.27
Monday 09:18,room_10,23.53
Monday 09:18,room_11,21.02
Monday 09:18,room_12,26.78
Monday 09:18,room_13,25.43
Monday 09:18,room_14,22.17
Monday 09:19,room_15,23.0
Monday 09:19,room_01,22.33
Monday 09:19,room_02,22.74
Monday 09:19,room_03,25.6
Monday 09:19,room_04,25.52
Monday 09:19,room_05,26.44
Monday 09:19,room_06,24.86
Monday 09:19,room_07,22.88
Monday 09:19,room_08,22.68
Monday 09:19,room_09,25.1
Monday 09:20,room_10,23.22
Monday 09:20,room_11,21.44
Monday 09:20,room_12,27.1
Monday 09:20,room_13,25.88
Monday 09:20,room_14,22.03
Monday 09:20,room_15,22.84
Monday 09:20,room_01,22.42
Monday 09:20,room_02,22.54
Monday 09:20,room_03,25.37
Monday 09:21,room_04,25.78
Monday 09:21,room_05,25.91
Monday 09:21,room_06,24.75
Monday 09:21,room_07,23.06
Monday 09:21,room_08,22.96
Monday 09:21,room_09,25.55
Monday 09:21,room_10,22.99
Monday 09:21,room_11,21.8
Monday 09:21,room_12,27.25
Monday 09:21,room_13,26.03
Monday 09:22,room_14,22.09
Monday 09:22,room_15,23.62
Monday 09:22,room_01,22.83
Monday 09:22,room_02,22.73
Monday 09:22,room_03,24.98
Monday 09:22,room_04,25.49
Monday 09:22,room_05,25.28
Monday 09:22,room_06,24.77
Monday 09:22,room_07,23.51
Monday 09:22,room_08,22.6
Monday 09:23,room_09,26.07
Monday 09:23,room_10,23.22
Monday 09:23,room_11,22.13
Monday 09:23,room_12,27.29
Monday 09:23,room_13,25.92
Monday 09:23,room_14,22.43
Monday 09:23,room_15,23.91
Monday 09:23,room_01,22.7
Monday 09:23,room_02,22.72
Monday 09:24,room_03,24.81
Monday 09:24,room_04,25.27
Monday 09:24,room_05,25.25
Monday 09:24,room_06,24.5
Monday 09:24,room_07,23.57
Monday 09:24,room_08,23.37
